Titre,Titre_original,Annee,Public,Duree,Note,Type,Description,Actors,Country,Langue,Episode,Saison
Better Call Saul,,2015–2022,Tous publics avec avertissement,"TV Series,46,m",8.8,"Crime,Drama","The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian,Michael Mando,Giancarlo Esposito,Michael McKean,Tony Dalton,Kerry Condon,Mark Margolis,Cara Pifko,Jeremiah Bitsui,Dennis Boutsikaris,Rex Linn,Josh Fadem,Julian Bonfiglio,Ray Campbell,John Christian Love",United States,"English,Spanish,Vietnamese",63,6
Chappelle's Show,,2003–2006,TV-MA,"TV Series,22,m",8.7,"Comedy,Music",Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,"Dave Chappelle,Donnell Rawlings,Rudy Rush,Charlie Murphy,Neal Brennan,Yasiin Bey,Randy Pearlstein,Melle Powers,Greer Barnes,Blaire Reinhard,Yoshio Mita,Paul Mooney,Guillermo Díaz,William Bogert,Sophina Brown,Questlove,Bryan Olsen,Bill Burr",United States,English,33,3
Freaks & Geeks,Original title: Freaks and Geeks,1999–2000,Tous publics,"TV Series,44,m",8.7,"Comedy,Drama",A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,"Linda Cardellini,John Francis Daley,James Franco,Samm Levine,Seth Rogen,Jason Segel,Martin Starr,Becky Ann Baker,Joe Flaherty,Busy Philipps,Jerome Elston Scott,Steve Bannos,Dave Allen,Sarah Hagan,Jerry Messing,Natasha Melnick,Stephen Lea Sheppard,Chauncey Leopardi",United States,English,18,1
Ted Lasso,,2020– ,Tous publics,"TV Series,30,m",8.8,"Comedy,Drama,Sport","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.","Jason Sudeikis,Brett Goldstein,Brendan Hunt,Nick Mohammed,Hannah Waddingham,Jeremy Swift,Phil Dunster,Juno Temple,Toheeb Jimoh,Kola Bokinni,Billy Harris,Stephen Manas,Cristo Fernández,Moe Jeudy-Lamour,Annette Badland,Adam Colborne,Bronson Webb,Kevin Garry","United States,United Kingdom",English,23,3
Philadelphia,Original title: It's Always Sunny in Philadelphia,2005– ,10,"TV Series,22,m",8.8,Comedy,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,"Charlie Day,Glenn Howerton,Rob McElhenney,Kaitlin Olson,Danny DeVito,Mary Elizabeth Ellis,David Hornsby,Artemis Pebdani,Lynne Marie Stewart,David Zdunich,Sandy Martin,Lance Barber,Andrew Friedman,Gregory Scott Cummins,Jimmi Simpson,Nate Mooney,Michael Naughton,Catherine Reitman",United States,English,162,15
Narcos,,2015–2017,12,"TV Series,49,m",8.8,"Biography,Crime,Drama","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Pedro Pascal,Lizbeth Eden,Wagner Moura,Boyd Holbrook,Alberto Ammann,Muratcan Savci,Paulina Gaitan,Juan Murcia,Jorge Monterrosa,Damián Alcázar,Francisco Denis,Raúl Méndez,Juan Sebastián Calero,Paulina García,Diego Cataño,Brett Cullen,Julián Díaz,Joanna Christie","United States,Colombia,Mexico","English,Spanish",30,3
Blackadder Goes Forth,,1989,TV-PG,"TV Series,2,h, ,55,m",8.8,"Comedy,War","Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.","Rowan Atkinson,Tony Robinson,Stephen Fry,Hugh Laurie,Tim McInnerny,Gabrielle Glaister,Jeremy Hardy,Rik Mayall,Geoffrey Palmer,Miranda Richardson,Adrian Edmondson,Stephen Frost,Bill Wallis,Hugo Blick,Lee Cornes,Paul Mark Elliott,Jeremy Gittins,Russell Brook",United Kingdom,English,6,1
L'hôtel en folie,Original title: Fawlty Towers,1975–1979,TV-PG,"TV Series,30,m",8.7,Comedy,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.","John Cleese,Prunella Scales,Andrew Sachs,Connie Booth,Ballard Berkeley,Gilly Flower,Renee Roberts,Brian Hall,Terence Conoley,Elizabeth Benson,George Lee,Bernard Cribbins,Michael Gwynn,André Maranne,Bruce Boa,Ken Campbell,Nicky Henson,Geoffrey Palmer",United Kingdom,"English,Spanish",12,2
La Forêt de l'Étrange,Original title: Over the Garden Wall,2014,TV-PG,"TV Mini Series,22,m",8.8,"Animation,Adventure,Drama",Two brothers find themselves lost in a mysterious land and try to find their way home.,"Elijah Wood,Collin Dean,Melanie Lynskey,Christopher Lloyd,Samuel Ramey,Jack Jones,John Cleese,Emily Brundige,Shirley Jones,Fred Stoller,Cole Sanchez,Sam Marin,Chris Isaak,Janet Klein,Tim Curry,Noureen DeWulf,Bebe Neuwirth,Deborah Voigt",United States,English,10,1
Kota Factory,,2019–2021,13,"TV Series,45,m",9.2,"Comedy,Drama","Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.","Mayur More,Jitendra Kumar,Ranjan Raj,Alam Khan,Revathi Pillai,Urvi Singh,Harish Peddinti,Ahsaas Channa,Sameer Saxena,Vaibhav Thakkar,Arun Kumar,Abhishake Jha,Sachin Vidrohi,Jyoti Gauba,Rajesh Kumar,Abhaya Sharma,Jaiti Khera,Avi Singh",India,Hindi,10,2
Black Mirror,,2011– ,16,"TV Series,1,h",8.8,"Drama,Sci-Fi,Thriller","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones,Charles Babalola,Toby Kebbell,Daniel Kaluuya,Rory Kinnear,Hayley Atwell,Lenora Crichlow,Daniel Rigby,Jon Hamm,Bryce Dallas Howard,Kelly Macdonald,Gugu Mbatha-Raw,Wyatt Russell,Alex Lawther,Malachi Kirby",United Kingdom,English,22,5
Twin Peaks,,1990–1991,Tous publics,"TV Series,47,m",8.8,"Crime,Drama,Mystery",An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,"Kyle MacLachlan,Michael Ontkean,Mädchen Amick,Dana Ashbrook,Richard Beymer,Lara Flynn Boyle,Sherilyn Fenn,Warren Frost,Peggy Lipton,James Marshall,Everett McGill,Jack Nance,Joan Chen,Kimmy Robertson,Michael Horse,Piper Laurie,Harry Goaz,Eric DaRe",United States,"English,Icelandic,Afrikaans,Norwegian",30,2
Orgueil et préjugés,Original title: Pride and Prejudice,1995,TV-PG,"TV Mini Series,5,h, ,27,m",8.8,"Drama,Romance","While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.","Colin Firth,Jennifer Ehle,Susannah Harker,Julia Sawalha,Alison Steadman,Benjamin Whitrow,Crispin Bonham-Carter,Polly Maberly,Lucy Briers,Anna Chancellor,Lucy Robinson,Adrian Lukis,David Bamber,Lucy Scott,Lucy Davis,Emilia Fox,Marlene Sidaway,Barbara Leigh-Hunt",United Kingdom,English,6,1
Friends,,1994–2004,Tous publics,"TV Series,22,m",8.8,"Comedy,Romance",Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc,Matthew Perry,David Schwimmer,James Michael Tyler,Elliott Gould,Christina Pickles,Maggie Wheeler,Paul Rudd,Jane Sibbett,Helen Baxendale,Jessica Hecht,June Gable,Tom Selleck,Aisha Tyler,Giovanni Ribisi",United States,"English,Spanish,Italian,French,Dutch,Hebrew",235,10
Nathan for You,,2013–2017,TV-14,"TV Series,30,m",8.9,"Documentary,Comedy","Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.","Nathan Fielder,Anthony Filosa,Brian S. Wolfe,Simon Kellog,William Heath,Salomon Flores,Tony Napoli,James Bailey,Sue Stanford,Cornelius Ladd,Kyle Heitz,Billy Smalling,Marcos Mateo Ochoa,Andy Farshidian,Jason Stone,Corey Calderwood,H. Jon Benjamin,Jennifer Anderton",United States,English,32,4
"Monty Python's Flying Circus ; Absurde, n'est-il pas?",Original title: Monty Python's Flying Circus,1969–1974,Tous Public,"TV Series,30,m",8.8,Comedy,The original surreal sketch comedy showcase for the Monty Python troupe.,"Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones,Michael Palin,Carol Cleveland,Monty Python,Ian Davidson,John Hughman,The Fred Tomlinson Singers,Bob Raymond,Connie Booth,Lyn Ashley,Frank Lester,Rita Davies,Maureen Flanagan,Donna Reading",United Kingdom,"English,Arabic,French,German,Italian,Mandarin,Spanish",45,4
Le bateau,Original title: Das Boot,1985–1987,TV-MA,"TV Mini Series,4,h, ,53,m",8.8,"Drama,Thriller,War",A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,Martin Semmelrogge,Bernd Tauber,Erwin Leder,Martin May,Heinz Hoenig,Uwe Ochsenknecht,Claude-Oliver Rudolph,Jan Fedder,Ralf Richter,Joachim Bernhard,Oliver Stritzel,Konrad Becker,Lutz Schnell,Martin Hemme","West Germany,France,United Kingdom,Italy","German,French,English",3,1
Seinfeld,,1989–1998,Tous publics,"TV Series,22,m",8.8,Comedy,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexander,Ruth Cohen,Wayne Knight,Norman Brenner,Heidi Swedberg,Estelle Harris,Jerry Stiller,Liz Sheridan,John O'Hurley,Barney Martin,Len Lesser,Deck McKenzie,Richard Herd,Peggy Lane,Richard Fancy",United States,English,173,9
Dexter: New Blood,,2021– ,TV-MA,TV Mini Series,9.1,"Crime,Drama,Mystery","Set 10 years after Dexter Morgan went missing in the eye of Hurricane Laura, he is now living under an assumed name in Upstate New York, Iron Lake, far from his original home in Miami.","Michael C. Hall,Jack Alcott,Julia Jones,Johnny Sequoyah,Alano Miller,Jennifer Carpenter,David Magidoff,Clancy Brown,Michael Cyril Creighton,Katy Sullivan,Steve M. Robertson,Oscar Wahlberg,Andrew Fama,Dustin Tucker,Dee Nelson,Armen Garo,Fredric Lehne,Gizel Jimenez",United States,English,10,1
Souvenirs de Gravity Falls,Original title: Gravity Falls,2012–2016,Tous publics,"TV Series,23,m",8.9,"Animation,Action,Adventure","Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.","Jason Ritter,Alex Hirsch,Kristen Schaal,Linda Cardellini,Kevin Michael Richardson,Matt Chapman,Kari Wahlgren,John DiMaggio,Keith Ferguson,Gregg Turkington,Jennifer Coolidge,Carl Faruolo,Niki Yang,Dee Bradley Baker,T.J. Miller,Will Forte,Grey Griffin,Thurop Van Orman",United States,English,40,2
TVF Pitchers,,2015,TV-MA,"TV Mini Series,40,m",9.1,"Comedy,Drama",A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,"Naveen Kasturia,Arunabh Kumar,Jitendra Kumar,Abhay Mahajan,Akanksha Thakur,Maanvi Gagroo,Gopal Datt,Jaimini Pathak,Pranav Bhasin,Rajesh Sharma,Suneel Sinha,Biswapati Sarkar,Arnav Bhasin,Aditi Singh,Natasha Azad,Manjiri Pupala,Abhishek Banerjee,Manuj Sharma",India,"Hindi,English",5,1
Last Week Tonight with John Oliver,,2014– ,10,"TV Series,30,m",8.8,"Comedy,History,News",Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,"John Oliver,David Kaye,Ryan Barger,Noel MacNeal,Alberto Bonilla,H. Jon Benjamin,Gilbert Gottfried,Rachel Dratch,James Wojtal,George Clooney,Kyle Ploof,Moujan Zolfaghari,Paul McGinnis,Alex Webb,Thomas Kopache,Stephanie D'Abruzzo,Jack McBrayer,Frances Mitchell",United States,English,240,8
Apocalypse: La 2ème guerre mondiale,,2009,TV-MA,"TV Mini Series,5,h, ,12,m",9.0,"Documentary,History,War","Apocalypse: The Second World War(2009) is a six-part French documentary about the Second World War. The documentary is composed exclusively of actual footage of the war as filmed by war correspondents, soldiers, resistance fighters and private citizens. The series is shown in col...","Mathieu Kassovitz,Martin Sheen,Rudolf Hess",France,French,6,1
Only Fools and Horses,Original title: Only Fools and Horses....,1981–2003,TV-PG,"TV Series,1,h, ,35,m",8.9,Comedy,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,"David Jason,Nicholas Lyndhurst,Roger Lloyd Pack,Buster Merryfield,John Challis,Kenneth MacDonald,Lennard Pearce,Gwyneth Strong,Sue Holderness,Patrick Murray,Tessa Peake-Jones,Paul Barber,John Sullivan,Roy Heather,Denis Lill,Nula Conwell,Steven Woodcock,Julie La Rousse",United Kingdom,English,64,9
Batman,Original title: Batman: The Animated Series,1992–1995,Tous publics,"TV Series,23,m",9.0,"Animation,Action,Adventure",The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,"Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,Robert Costanzo,Mari Devon,Mark Hamill,Richard Moll,Lloyd Bochner,Arleen Sorkin,John Vernon,Adrienne Barbeau,Brock Peters,Diane Pershing,Paul Williams,Ingrid Oliu,Neil Ross,Aron Kincaid",United States,English,85,4
Afrique sauvage,Original title: Africa,2013,TV-PG,"TV Mini Series,6,h",8.9,Documentary,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.","David Attenborough,Simon Blakeney,Mark Deeble,Matthew Wright,Mike Fox,Martyn Colbeck,Kate Broome,Bill Rudolph,Kevin Flay,Mark MacEwen,E.O. Wilson,Justin Maguire,Hugh Pearson,Andres Bifani,James Aldred,Warwick Sloss,Olubi Lairumbe,Tim Berrow",United Kingdom,English,7,1
The Blue Planet,,2001,TV-G,"TV Mini Series,6,h, ,29,m",9.0,Documentary,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.","David Attenborough,Pierce Brosnan",United Kingdom,English,8,1
La quatrième dimension,Original title: The Twilight Zone,1959–1964,Tous publics,"TV Series,51,m",9.0,"Drama,Fantasy,Horror","Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.","Rod Serling,Robert McCord,Jay Overholts,Vaughn Taylor,David Armstrong,James Turley,Jack Klugman,Burgess Meredith,John Anderson,J. Pat O'Malley,Barney Phillips,George Mitchell,Cyril Delevanti,Jon Lormer,John McLiam,Bill Erwin,Nan Peterson,Lew Brown",United States,,156,5
SCAM 1992: The Harshad Mehta Story,Original title: Scam 1992: The Harshad Mehta Story,2020,TV-14,"TV Series,54,m",9.5,"Biography,Crime,Drama","Set in 1980's and 90's Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.","Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher,Anjali Barot,Chirag Vohra,Brinda Trivedi,Jay Upadhyay,Kumkum Das,Anant Mahadevan,Faisal Rashid,Nikhil Dwivedi,Kavin Dave,Paresh Ganatra,Himanshu Kohli,Aakanksha Gade,K.K. Raina,Raghav Raj Kakker,Kartik Krishnan",India,Hindi,10,1
The Vietnam War,,2017,TV-MA,"TV Mini Series,16,h, ,30,m",9.1,"Documentary,History,War",A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,"Peter Coyote,Huy Duc,James Willbanks,Duong Van Mai Elliott,John Musgrave,Phan Quang Tue,Karl Marlantes,Nguyen Ngoc,Bao Ninh,Bill Zimmerman,Leslie Gelb,Hal Kushner,Roger Harris,Carol Crocker,Tim O'Brien,Jack Todd,Bui Diem,Robert Gard",,English,10,1
Fullmetal Alchemist: Brotherhood,Original title: Hagane no renkinjutsushi,2009–2012,Tous publics,"TV Series,24,m",9.1,"Animation,Action,Adventure",Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"Kent Williams,Iemasa Kayumi,Vic Mignogna,Romi Park,Muriel Hofmann,Lili Troncale,Rie Kugimiya,Maxey Whitehead,Travis Willingham,Shin'ichirô Miki,Colleen Clinkenbeard,Fumiko Orikasa,Kenta Miyake,J. Michael Tatum,Yuki Hayashi,Caitlin Glass,Monica Rial,Megumi Takamoto",Japan,Japanese,69,1
"Life, l'aventure de la vie",Original title: Life,2009,Tous publics,"TV Mini Series,7,h, ,53,m",9.1,Documentary,"David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated to hunting, the deep sea and various major evolutionary groups of creatures: plants, primate...","Oprah Winfrey,David Attenborough,Doug Allan,Roger Munns,Justine Evans,Jonathan Smith,Michael Pitts,Barrie Britton,Neil Lucas,Kevin Flay,Matthew Swarbrick,Nick Guy,Stephen Lyle,Doug Anderson,Adam Chapman,Martha Holmes,Mike Pitts,Rick Rosenthal","United Kingdom,United States,Greece,Italy,Germany",English,11,1
Sherlock,,2010–2017,Tous publics,"TV Series,1,h, ,28,m",9.1,"Crime,Drama,Mystery",A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,"Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves,Louise Brealey,Mark Gatiss,Andrew Scott,Amanda Abbington,Jonathan Aris,Vinette Robinson,Lindsay Duncan,Yasmine Akram,Sian Brooke,Tanya Moodie,Simon Kunz,Wanda Ventham,Timothy Carlton,Lisa McAllister","United Kingdom,United States",English,15,4
The Last Dance,,2020,7,"TV Mini Series,8,h, ,11,m",9.1,"Documentary,Biography,History","Charting the rise of the 1990's Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.","Michael Jordan,Phil Jackson,Scottie Pippen,David Aldridge,Steve Kerr,Michael Wilbon,Andrea Kremer,Deloris Jordan,Bill Wennington,John Paxson,Dennis Rodman,Ahmad Rashad,Bob Costas,David Stern,Jerry Reinsdorf,B.J. Armstrong,Mark Vancil,Sam Smith",United States,English,10,1
The World at War,,1973–1974,TV-PG,"TV Series,52,m",9.2,"Documentary,History,War","A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.","Laurence Olivier,Albert Speer,Averell Harriman,Anthony Eden,Siegfried Westphal,Lawrence Durrell,Toshikazu Kase,J. Lawton Collins,Louis Mountbatten,Wynford Vaughan-Thomas,J.B. Priestley,Adolf Galland,Christabel Bielenberg,John J. McCloy,Hasso von Manteuffel,Emmi Bonhoeffer,R.A. Butler,J.G. Smyth",United Kingdom,"English,German,French,Japanese",26,1
Rick et Morty,Original title: Rick and Morty,2013– ,12,"TV Series,23,m",9.2,"Animation,Adventure,Comedy",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke,Kari Wahlgren,Dan Harmon,Maurice LaMarche,Tom Kenny,Brandon Johnson,Ryan Ridley,Nolan North,Cassie Steele,Phil Hendrie,Echo Kellum,Keith David,Rob Schrab,Rob Paulsen,Tara Strong",United States,English,52,6
Les Soprano,Original title: The Sopranos,1999–2007,Tous publics,"TV Series,55,m",9.2,"Crime,Drama","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,Steven Van Zandt,Robert Iler,Tony Sirico,Jamie-Lynn Sigler,Dominic Chianese,Aida Turturro,Steve Schirripa,Drea de Matteo,Dan Grimaldi,Joseph R. Gannascoli,Sharon Angela,John Ventimiglia,Vincent Curatola,Frank Vincent",United States,"English,Italian,Russian",86,6
Game of Thrones,,2011–2019,12,"TV Series,57,m",9.2,"Action,Adventure,Drama","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey,Sophie Turner,Maisie Williams,Nikolaj Coster-Waldau,Iain Glen,John Bradley,Alfie Allen,Conleth Hill,Liam Cunningham,Gwendoline Christie,Aidan Gillen,Isaac Hempstead Wright,Rory McCann,Nathalie Emmanuel,Jerome Flynn","United States,United Kingdom",English,73,8
Arcane,Original title: Arcane: League of Legends,2021– ,16,"TV Series,41,m",9.4,"Animation,Action,Adventure","Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.","Kevin Alejandro,Jason Spisak,Hailee Steinfeld,Harry Lloyd,Toks Olagundoye,JB Blanc,Remy Hii,Dave B. Mitchell,Amirah Vann,Mia Sinclair Jenness,Katie Leung,Josh Keaton,Ella Purnell,Mick Wingert,Erica Lindbeck,Yuri Lowenthal,Abigail Marlowe,Reed Shannon","United States,France",English,10,2
"Avatar, le dernier maître de l'air",Original title: Avatar: The Last Airbender,2005–2008,T,"TV Series,23,m",9.3,"Animation,Action,Adventure","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman,Jack De Sena,Dante Basco,Michaela Jill Murphy,Mako,Grey Griffin,André Sogliuzzo,Cricket Leigh,Mark Hamill,Jennie Kwan,Olivia Hack,Greg Baldwin,Jim Meskimen,James Garrett,Jason Isaacs,James Sie",United States,English,62,3
Cosmos,,1980,TV-PG,"TV Mini Series,13,h",9.3,Documentary,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,"Carl Sagan,Jaromír Hanzlík,Jonathan Fahn,Alan Belod,Jean Charney,Bill Grant,Bob Hevelone,Ronald A. Hilbert,Victor C. John,Arthur 'Lonne' Lane,Linda Morabito,Larry Soderblom,Cecilia White,Dana Hlavácová,Josef Vinklár","United States,United Kingdom",,13,1
Cosmos: Une odyssée à travers l'univers,Original title: Cosmos: A Spacetime Odyssey,2014,Tous publics,"TV Mini Series,9,h, ,17,m",9.3,Documentary,An exploration of our discovery of the laws of nature and coordinates in space and time.,"Neil deGrasse Tyson,Christopher Emerson,Keythe Farley,Piotr Michael,Enn Reitel,Stoney Emshwiller,André Sogliuzzo,Kirsten Dunst,Amanda Seyfried,Phil LaMarr,Paul Sorvino,Larry Cedar,Christiane Amanpour,Seth MacFarlane,Fred Tatasciore,Martin Jarvis,Glenn Steinbaum,Maria Frucci",United States,English,13,1
Blue Planet II,,2017,TV-G,"TV Mini Series,6,h, ,4,m",9.3,Documentary,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.","David Attenborough,Peter Drost,Roger Munns,Roger Horrocks",United Kingdom,English,7,1
Chernobyl,,2019,12,"TV Mini Series,5,h, ,30,m",9.4,"Drama,History,Thriller","In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.","Jessie Buckley,Jared Harris,Stellan Skarsgård,Adam Nagaitis,Emily Watson,Paul Ritter,Robert Emms,Sam Troughton,Karl Davies,Michael Socha,Laura Elphinstone,Jan Ricica,Alan Williams,Adrian Rawlins,Con O'Neill,Douggie McMeekin,Nadia Clifford,David Dencik","United States,United Kingdom","English,Russian,Ukrainian",5,1
Frères d'armes,Original title: Band of Brothers,2001,Tous publics,"TV Mini Series,9,h, ,54,m",9.4,"Action,Drama,History","The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.","Scott Grimes,Damian Lewis,Ron Livingston,Shane Taylor,Donnie Wahlberg,Peter Youngblood Hills,Matthew Leitch,Nicholas Aaron,Philip Barantini,Michael Cudlitz,Dexter Fletcher,Rick Gomez,James Madio,Ross McCall,Doug Allen,George Calil,Nolan Hemmings,Robin Laing","United States,United Kingdom","English,Dutch,French,German,Lithuanian",10,1
Sur écoute,Original title: The Wire,2002–2008,Tous publics,"TV Series,59,m",9.3,"Crime,Drama,Thriller","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,John Doman,Deirdre Lovejoy,Seth Gilliam,Domenick Lombardozzi,Clarke Peters,Andre Royo,Michael Kenneth Williams,Jim True-Frost,Frankie Faison,Corey Parker Robinson,Delaney Williams,J.D. Williams,Wood Harris,Idris Elba",United States,"English,Greek,Mandarin,Spanish",60,5
Breaking Bad,,2008–2013,Tous publics,"TV Series,49,m",9.4,"Crime,Drama,Thriller",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell",United States,"English,Spanish",62,5
Planète Terre,Original title: Planet Earth,2006,Tous publics,"TV Mini Series,8,h, ,58,m",9.4,Documentary,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.","David Attenborough,Sigourney Weaver,Nikolay Drozdov,Thomas Anguti Johnston,Huw Cordey,Doug Allan,Mark Linfield,Doug Anderson,Tom Clarke,Dany Cleyet-Marrel,Justine Evans,Mike Holding,Chadden Hunter,Choi Jen,Tania Jenkins,Jonathan Keeling,Michael Kelem,Simon King",United Kingdom,English,11,1
Notre planète,Original title: Our Planet,2019,7,"TV Mini Series,6,h, ,43,m",9.3,Documentary,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",David Attenborough,"United States,United Kingdom",English,8,1
