Titre,Titre_original,Annee,Public,Duree,Note,Type,Description,Actors,Country,Langue,Episode,Saison
The Thick of It,,2005–2012,TV-MA,"TV Series,29,m",8.7,Comedy,"Set in the corridors of power and spin, the Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.","Chris Addison,James Smith,Peter Capaldi,Joanna Scanlan,Rebecca Front,Roger Allam,Will Smith,Olivia Poulet,Vincent Franklin,Ben Willbond,Polly Kemp,Justin Edwards,Lucinda Raikes,Tony Gardner,Samantha Harrington,Chris Langham,Geoffrey Streatfeild,Alex Macqueen",United Kingdom,English,24,4
House of Cards,,2013–2018,Tous publics,"TV Series,51,m",8.7,Drama,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,"Kevin Spacey,Michel Gill,Robin Wright,Kate Mara,Michael Kelly,Justin Doescher,Derek Cecil,Jayne Atkinson,Nathan Darrow,Mahershala Ali,Boris McGiver,Paul Sparks,Molly Parker,Neve Campbell,Jeremy Holm,Marla Aaron Wapner,Nini Le Huynh,Gregory Divers",United States,English,73,6
Aspirants,,2021– ,See the Top 250 TV shows as rated by IMDb users,"TV Series,45,m",9.7,Drama,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,"Naveen Kasturia,Shivankit Singh Parihar,Abhilash Thapliyal,Sunny Hinduja,Namita Dubey,Kuljeet Singh,Bijou Thaangjam,Abhishek Solanki,Neetu Jhanjhi,Nupur Nagpal,Darius Chinoy,Rahul Bharadwaj,Udit Kulshrestha,Arpit Bhatia,Preeti Agarwal Mehta,Salim Siddiqui,Shivam Kakar,Abhishek Yadav",India,Hindi,5,1
The Boys,,2019– ,16,"TV Series,1,h",8.7,"Action,Crime,Drama",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Karl Urban,Jack Quaid,Antony Starr,Erin Moriarty,Dominique McElligott,Jessie T. Usher,Laz Alonso,Chace Crawford,Tomer Capon,Karen Fukuhara,Nathan Mitchell,Colby Minifie,Aya Cash,Claudia Doumit,Cameron Crovetti,Elisabeth Shue,Shantel VanSanten,Nneka Elliott",United States,English,24,3
One Piece,Original title: One Piece: Wan pîsu,1999– ,10,"TV Series,24,m",8.8,"Animation,Action,Adventure","Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Mayumi Tanaka,Tony Beck,Laurent Vernin,Akemi Okamura,Kappei Yamaguchi,Kazuya Nakai,Hiroaki Hirata,Ikue Ôtani,Colleen Clinkenbeard,Mahito Ôba,Yuriko Yamaguchi,Kazuki Yao,Chikao Ohtsuka,Luci Christian,Christopher Sabat,Sonny Strait,Eric Vale,Chô",Japan,Japanese,1000,1
South Park,,1997– ,16,"TV Series,22,m",8.7,"Animation,Comedy","Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","Trey Parker,Matt Stone,Isaac Hayes,Mona Marshall,April Stewart,Adrien Beard,Eliza Schneider,Jennifer Howell,Jessica Makinson,Mary Kay Bergman,Omaira Coromoto Rivero,Sergio Sáez,Kyle McCulloch,John 'Nancy' Hansen,Vernon Chatman,Elisa Gabrielli,Betty Boogie Parker,Jonathan Kimmel",,,311,24
Les aventures de Sherlock Holmes,Original title: The Adventures of Sherlock Holmes,1984–1985,Tous publics,"TV Series,1,h",8.7,"Crime,Drama,Mystery","Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.","Jeremy Brett,David Burke,Rosalie Williams,Eric Porter,Gayle Hunnicutt,Rosalind Knight,Jeremy Kemp,Norman Jones,David Gwillim,Barbara Wilshere,Tenniel Evans,Charles Gray,Joss Ackland,Nicholas Clay,Rosalie Crutchley,Roger Hammond,Rosalyn Landor,John Castle",United Kingdom,English,13,2
Six pieds sous terre,Original title: Six Feet Under,2001–2005,Tous publics,"TV Series,1,h",8.7,"Comedy,Drama",A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,"Peter Krause,Michael C. Hall,Frances Conroy,Lauren Ambrose,Freddy Rodríguez,Mathew St. Patrick,Rachel Griffiths,Justina Machado,Jeremy Sisto,Brenna Tosh,Bronwyn Tosh,James Cromwell,Lili Taylor,Ben Foster,Joanna Cassidy,Richard Jenkins,Giancarlo Rodriguez,Ed O'Ross",United States,English,63,5
Justice League Unlimited,,2004–2006,TV-Y7-FV,"TV Series,23,m",8.7,"Animation,Action,Adventure",A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,"George Newbern,Kevin Conroy,Phil LaMarr,Carl Lumbly,Susan Eisenberg,Clancy Brown,Michael Rosenbaum,Maria Canals-Barrera,Kin Shriner,CCH Pounder,Lex Lang,Nicholle Tom,Juliet Landau,Jennifer Hale,Michael Beach,Robert Foxworth,Chris Cox,Powers Boothe",United States,English,39,3
Stranger Things,,2016– ,16,"TV Series,51,m",8.7,"Drama,Fantasy,Horror","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Millie Bobby Brown,Finn Wolfhard,Winona Ryder,David Harbour,Gaten Matarazzo,Caleb McLaughlin,Natalia Dyer,Charlie Heaton,Joe Keery,Cara Buono,Noah Schnapp,Sadie Sink,Priah Ferguson,Joe Chrest,Matthew Modine,Dacre Montgomery,Maya Hawke,Brett Gelman",United States,"English,Russian",34,4
